,y,V
0,0.0,0.0
1,0.0001,0.009175
2,0.0002,0.018219
3,0.0003,0.02713
4,0.0004,0.03591
5,0.0005,0.044557
6,0.0006,0.053072
7,0.0007,0.061456
8,0.0008,0.069707
9,0.0009,0.077826
10,0.001,0.085813
11,0.0011,0.093669
12,0.0012,0.101392
13,0.0013,0.108983
14,0.0014,0.116442
15,0.0015,0.123769
16,0.0016,0.130964
17,0.0017,0.138027
18,0.0018,0.144958
19,0.0019,0.151758
20,0.002,0.158425
21,0.0021,0.16496
22,0.0022,0.171363
23,0.0023,0.177634
24,0.0024,0.183772
25,0.0025,0.189779
26,0.0026,0.195654
27,0.0027,0.201397
28,0.0028,0.207008
29,0.0029,0.212487
30,0.003,0.217834
31,0.0031,0.223049
32,0.0032,0.228131
33,0.0033,0.233082
34,0.0034,0.237901
35,0.0035,0.242588
36,0.0036,0.247142
37,0.0037,0.251565
38,0.0038,0.255856
39,0.0039,0.260014
40,0.004,0.264041
41,0.0041,0.267936
42,0.0042,0.271698
43,0.0043,0.275329
44,0.0044,0.278827
45,0.0045,0.282194
46,0.0046,0.285428
47,0.0047,0.288531
48,0.0048,0.291501
49,0.0049,0.29434
50,0.005,0.297046
51,0.0051,0.29962
52,0.0052,0.302063
53,0.0053,0.304373
54,0.0054,0.306552
55,0.0055,0.308598
56,0.0056,0.310512
57,0.0057,0.312294
58,0.0058,0.313945
59,0.0059,0.315463
60,0.006,0.316849
61,0.0061,0.318103
62,0.0062,0.319225
63,0.0063,0.320216
64,0.0064,0.321074
65,0.0065,0.3218
66,0.0066,0.322394
67,0.0067,0.322856
68,0.0068,0.323186
69,0.0069,0.323384
70,0.007,0.32345
71,0.0071,0.323384
72,0.0072,0.323186
73,0.0073,0.322856
74,0.0074,0.322394
75,0.0075,0.3218
76,0.0076,0.321074
77,0.0077,0.320216
78,0.0078,0.319225
79,0.0079,0.318103
80,0.008,0.316849
81,0.0081,0.315463
82,0.0082,0.313945
83,0.0083,0.312294
84,0.0084,0.310512
85,0.0085,0.308598
86,0.0086,0.306552
87,0.0087,0.304373
88,0.0088,0.302063
89,0.0089,0.29962
90,0.009,0.297046
91,0.0091,0.29434
92,0.0092,0.291501
93,0.0093,0.288531
94,0.0094,0.285428
95,0.0095,0.282194
96,0.0096,0.278827
97,0.0097,0.275329
98,0.0098,0.271698
99,0.0099,0.267936
100,0.01,0.264041
101,0.0101,0.260014
102,0.0102,0.255856
103,0.0103,0.251565
104,0.0104,0.247142
105,0.0105,0.242588
106,0.0106,0.237901
107,0.0107,0.233082
108,0.0108,0.228131
109,0.0109,0.223049
110,0.011,0.217834
111,0.0111,0.212487
112,0.0112,0.207008
113,0.0113,0.201397
114,0.0114,0.195654
115,0.0115,0.189779
116,0.0116,0.183772
117,0.0117,0.177634
118,0.0118,0.171363
119,0.0119,0.16496
120,0.012,0.158425
121,0.0121,0.151758
122,0.0122,0.144958
123,0.0123,0.138027
124,0.0124,0.130964
125,0.0125,0.123769
126,0.0126,0.116442
127,0.0127,0.108983
128,0.0128,0.101392
129,0.0129,0.093669
130,0.013,0.085813
131,0.0131,0.077826
132,0.0132,0.069707
133,0.0133,0.061456
134,0.0134,0.053072
135,0.0135,0.044557
136,0.0136,0.03591
137,0.0137,0.02713
138,0.0138,0.018219
139,0.0139,0.009175
140,0.014,0.0
